CRS_NUM,Position,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,I,W,RP,SP,WU
92,Tenure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Adjunct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417322834645669,0.35826771653543305,0.0,0.0,0.0,0.0,0.0
92,Adjunct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7654320987654321,0.2345679012345679,0.0,0.0,0.0,0.0,0.0
92,Adjunct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0
92,Adjunct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7526881720430108,0.23655913978494625,0.0,0.010752688172043012,0.0,0.0,0.0
92,Adjunct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6197183098591549,0.38028169014084506,0.0,0.0,0.0,0.0,0.0
92,Tenure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Adjunct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6985294117647058,0.3014705882352941,0.0,0.0,0.0,0.0,0.0
92,Adjunct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.45,0.05,0.0,0.0,0.0,0.0
92,Adjunct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.2087912087912088,0.0,0.02197802197802198,0.0,0.0,0.0
92,Adjunct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Adjunct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7103448275862069,0.2868965517241379,0.0,0.002758620689655172,0.0,0.0,0.0
92,Adjunct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7490636704119851,0.24719101123595505,0.0,0.003745318352059925,0.0,0.0,0.0
92,Adjunct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7266949152542372,0.2690677966101695,0.0,0.00423728813559322,0.0,0.0,0.0
92,Adjunct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8387096774193549,0.14516129032258066,0.0,0.016129032258064516,0.0,0.0,0.0
